Model,HTML,Char,Actual Model,Actual HTML
/,/,,,
/0,/0,,/0,/0
/0/0,/0/0,,/0/0,/0/0
/0/0,/0/0/0,,,
/0/0/0,/0/0/0/0,E,/0/0/0,/0/0/0/0
/0/0/1,/0/0/0/1,x,/0/0/1,/0/0/0/1
/0/0/2,/0/0/0/2,a,/0/0/2,/0/0/0/2
/0/0/3,/0/0/0/3,m,/0/0/3,/0/0/0/3
/0/0/4,/0/0/0/4,p,/0/0/4,/0/0/0/4
/0/1,/0/1,,/0/1,/0/1
,/0/1/0,,,
/0/1/0,/0/1/0/0,l,/0/1/0,/0/1/0/0
/0/1/1,/0/1/0/1,e,/0/1/1,/0/1/0/1
/0/2,/0/2,,/0/2,/0/2
,/0/2/0,,,
/0/2/0,/0/2/0/0,_,/0/2/0,/0/2/0/0
/0/2/1,/0/2/0/1,H,/0/2/1,/0/2/0/1
/0/2/2,/0/2/0/2,e,/0/2/2,/0/2/0/2
/0/2/3,/0/2/0/3,a,/0/2/3,/0/2/0/3
/0/2/4,/0/2/0/4,d,/0/2/4,/0/2/0/4
/0/2/5,/0/2/0/5,e,/0/2/5,/0/2/0/5
/0/2/6,/0/2/0/6,r,/0/2/6,/0/2/0/6
/1,/1,,/1,/1
/1/0,/1/0,,/1/0,/1/0
,/1/0/0,,,
/1/0/0,/1/0/0/0,L,/1/0/0,/1/0/0/0
/1/0/1,/1/0/0/1,o,/1/0/1,/1/0/0/1
/1/0/2,/1/0/0/2,r,/1/0/2,/1/0/0/2
/1/0/3,/1/0/0/3,e,/1/0/3,/1/0/0/3
/1/0/4,/1/0/0/4,m,/1/0/4,/1/0/0/4
/1/1,/1/1,,/1/1,/1/1
,/1/1/0,,,
/1/1/0,/1/1/0/0,_,/1/1/0,/1/1/0/0
/1/1/1,/1/1/0/1,i,/1/1/1,/1/1/0/1
/1/1/2,/1/1/0/2,p,/1/1/2,/1/1/0/2
/1/1/3,/1/1/0/3,s,/1/1/3,/1/1/0/3
/1/1/4,/1/1/0/4,u,/1/1/4,/1/1/0/4
/1/1/5,/1/1/0/5,m,/1/1/5,/1/1/0/5
/1/1/6,/1/1/1,\n,/1/1/6,/1/1/2
,/1/1/2,,,
/1/1/7,/1/1/2/0,d,/1/1/7,/1/1/2/0
/1/1/8,/1/1/2/1,o,/1/1/8,/1/1/2/1
/1/1/9,/1/1/2/2,l,/1/1/9,/1/1/2/2
/1/1/10,/1/1/2/3,o,/1/1/10,/1/1/2/3
/1/1/11,/1/1/2/4,r,/1/1/11,/1/1/2/4
/2,/2,,/2,/2
/2/0,/2/0,,/2/0,/2/0
/2/1,/2/1,,/2/1,/2/1
/2/1/0,/2/1/0,,/2/1/0,/2/1/0
,/2/1/0/0,,,
/2/1/0/0,/2/1/0/0/0,s,/2/1/0/0,/2/1/0/0/0
/2/1/0/1,/2/1/0/0/1,i,/2/1/0/1,/2/1/0/0/1
/2/1/0/2,/2/1/0/0/2,t,/2/1/0/2,/2/1/0/0/2
/2/1/1,/2/1/1,,/2/1/1,/2/1/1
,/2/1/1/0,,,
/2/1/1/0,/2/1/1/0/0,_,/2/1/1/0,/2/1/1/0/0
/2/1/1/1,/2/1/1/0/1,a,/2/1/1/1,/2/1/1/0/1
/2/1/1/2,/2/1/1/0/2,m,/2/1/1/2,/2/1/1/0/2
/2/1/1/3,/2/1/1/0/3,e,/2/1/1/3,/2/1/1/0/3
/2/1/1/4,/2/1/1/0/4,t,/2/1/1/4,/2/1/1/0/4
